Label;cargo;partido;sector;categoria
Antoniohorvath;Senador;Renovacion Nacional;Coalicion;Politico
C_Ballesteros_;;;;educacion
Curvaspoliticas;;;;periodistas
DiputadoCornejo;Diputado;Partido Democrata Cristiano;Concertacion;Politico
DocVictorTorres;Diputado;Partido Democrata Cristiano;Concertacion;Politico
EnriqueAccorsi;Diputado;Partido Por la Democracia;Concertacion;Politico
ErnestoSilvaM;Diputado;Union Democrata Independiente;Coalicion;Politico
FelipeSalaberry;Diputado;Union Democrata Independiente;Coalicion;Politico
FulvioRossiC;Senador;Partido Socialista;Concertacion;Politico
GAscencio;Diputado;Partido Democrata Cristiano;Concertacion;Politico
G_Teillier;Diputado;Partido Comunista;Juntos Podemos;Politico
GiorgioJackson;;;;educacion
Hugo_Gutierrez_;Diputado;Partido Comunista;Juntos Podemos;Politico
Joacogodoy;Diputado;Renovacion Nacional;Coalicion;Politico
JoseMIzquierdo;;;;centro_estudios
Jovinonovoa;Senador;Union Democrata Independiente;Coalicion;Politico
LuisLarrain;;;;sociedad civil
Mangeles21;;;;centro_estudios
MarceSabat;Diputado;Renovacion Nacional;Coalicion;Politico
MartaIsasi;Diputado;Independiente;Independiente;Politico
MiodragDiputado;Diputado;Independiente;Independiente;Politico
Olanderretche;;;;centro_estudios
Orrego;;;;Alcalde
PepaHoffmann;Diputado;Union Democrata Independiente;Coalicion;Politico
RIVASDIPUTADO;Diputado;Renovacion Nacional;Coalicion;Politico
RamonFarias;Diputado;Partido Por la Democracia;Concertacion;Politico
RicardoRaineriB;Ministro;Independiente;Coalicion;Politico
RojoEdwards;Diputado;Renovacion Nacional;Coalicion;Politico
S_Iglesias;;;;sociedad civil
abellolio;;;;centro_estudios
adeurresti;Diputado;Partido Socialista;Concertacion;Politico
albertoespina;Senador;Renovacion Nacional;Coalicion;Politico
allamand;Senador;Renovacion Nacional;Coalicion;Politico
amorenocharme;Ministro;Independiente;Coalicion;Politico
arturosquella;Diputado;Union Democrata Independiente;Coalicion;Politico
axelchri;;;;sociedad civil
baltolu2010;Diputado;Union Democrata Independiente;Coalicion;Politico
bprokurica;Senador;Renovacion Nacional;Coalicion;Politico
camila_vallejo;;;;educacion
canterosenador;Senador;Independiente;Independiente;Politico
catalinaparot;Ministro;Renovacion Nacional;Coalicion;Politico
cbellolio;;;;centro_estudios
cferes;;;;centro_estudios
chahuan;Senador;Renovacion Nacional;Coalicion;Politico
clarroulet;Ministro;Independiente;Coalicion;Politico
cmerinoc;Ministro;Independiente;Coalicion;Politico
cmonckeberg;Diputado;Renovacion Nacional;Coalicion;Politico
conystipicic;;;;periodistas
crecondo;Diputado;Union Democrata Independiente;Coalicion;Politico
cschmidtz;Ministro;Independiente;Coalicion;Politico
deborah_bailey;;;;periodistas
dip_schilling;Diputado;Partido Socialista;Concertacion;Politico
diputadasaa;Diputado;Partido Por la Democracia;Concertacion;Politico
diputadoarenas;Diputado;Union Democrata Independiente;Coalicion;Politico
diputadocastro;Diputado;Partido Socialista;Concertacion;Politico
diputadoestay;Diputado;Union Democrata Independiente;Coalicion;Politico
diputadoleon;Diputado;Partido Democrata Cristiano;Concertacion;Politico
e_PedroBrowne;Diputado;Renovacion Nacional;Coalicion;Politico
ejaramilb;Diputado;Partido Por la Democracia;Concertacion;Politico
enavonbaer;Ministro;Union Democrata Independiente;Coalicion;Politico
eugeniotironi;;;;centro_estudios
fbulnes;Ministro;Renovacion Nacional;Coalicion;Politico
fchahin;Diputado;Partido Democrata Cristiano;Concertacion;Politico
felipeharboe;Diputado;Partido Por la Democracia;Concertacion;Politico
felipekast;Ministro;Independiente;Coalicion;Politico
felipelarrain;Ministro;Independiente;Coalicion;Politico
fernandopaulsen;;;;periodistas
fideldiputado;Diputado;Partido Socialista;Concertacion;Politico
fmorande;Ministro;Independiente;Coalicion;Politico
frank_sauerbaum;Diputado;Renovacion Nacional;Coalicion;Politico
gabrielsilber;Diputado;Partido Democrata Cristiano;Concertacion;Politico
gbeckera;Diputado;Renovacion Nacional;Coalicion;Politico
giovannidiputad;Diputado;Union Democrata Independiente;Coalicion;Politico
gonzalomartner;;;;centro_estudios
gonzalomuller;;;;centro_estudios
gonzalouriarte;Diputado;Union Democrata Independiente;Coalicion;Politico
guidogirardi;Senador;Partido Por la Democracia;Concertacion;Politico
gustavohasbun;Diputado;Union Democrata Independiente;Coalicion;Politico
hdesolminihac;Ministro;Independiente;Coalicion;Politico
hernanlarrainf;Senador;Union Democrata Independiente;Coalicion;Politico
iallendebussi;Senador;Partido Socialista;Concertacion;Politico
ignaciowalker;Senador;Partido Democrata Cristiano;Concertacion;Politico
issakortg;;;;Politico
ivanmoreirab;Diputado;Union Democrata Independiente;Coalicion;Politico
jacoloma;Senador;Union Democrata Independiente;Coalicion;Politico
jafontaine;Ministro;Independiente;Coalicion;Politico
jagalilea;Ministro;Renovacion Nacional;Coalicion;Politico
jagomez;Senador;Partido Radical Social Democrata;Concertacion;Politico
jaimegajardo;;;;educacion
javiermacaya;Diputado;Union Democrata Independiente;Coalicion;Politico
jbellolio;;;;centro_estudios
jburgosv;Diputado;Partido Democrata Cristiano;Concertacion;Politico
jceichholz;;;;centro_estudios
jgarciaruminot;Senador;Renovacion Nacional;Coalicion;Politico
jmanalich;Ministro;Independiente;Coalicion;Politico
jorgeerrazuriz;;;;sociedad civil
joseantoniokast;Diputado;Union Democrata Independiente;Coalicion;Politico
jplchile;Senador;Partido Socialista;Concertacion;Politico
juanlobosk;Diputado;Union Democrata Independiente;Coalicion;Politico
karlarubilar;Diputado;Renovacion Nacional;Coalicion;Politico
kenzoasahi;;;;centro_estudios
lagosweber;Senador;Partido Por la Democracia;Concertacion;Politico
lautarocarmona;Diputado;Partido Comunista;Juntos Podemos;Politico
lcruzcoke;Ministro;Independiente;Coalicion;Politico
lemusdiputado;Diputado;Independiente;Independiente;Politico
lgolborne;Ministro;Independiente;Coalicion;Politico
lilyperez;Senador;Renovacion Nacional;Coalicion;Politico
luislarrainlyd;;;;centro_estudios
magdalenamatte;Ministro;Union Democrata Independiente;Coalicion;Politico
marcelobrunet;;;;sociedad civil
marcelodiazd;Diputado;Partido Socialista;Concertacion;Politico
marconunez;Diputado;Partido Por la Democracia;Concertacion;Politico
marcoporchile;LÐder;Partido Progresista;Independiente;Politico
marisolturres;Diputado;Union Democrata Independiente;Coalicion;Politico
matiaswalkerp;Diputado;Partido Democrata Cristiano;Concertacion;Politico
mauriciohofmann;;;;periodistas
maxcolodro;;;;centro_estudios
mechitasdeclavo;;;;centro_estudios
memobarros;Diputado;Union Democrata Independiente;Coalicion;Politico
mfernandaotero;;;;sociedad civil
mibenitezp;Ministro;Union Democrata Independiente;Coalicion;Politico
mmlagoscc;;;;centro_estudios
monicazalaquett;Diputado;Union Democrata Independiente;Coalicion;Politico
mwaissbluth;;;;educacion
nmonckeberg;Diputado;Renovacion Nacional;Coalicion;Politico
orlandodearica;Diputado;Independiente;Independiente;Politico
pablosimonetti;;;;sociedad civil
panchodays;;;;centro_estudios
patriciomelero;Diputado;Union Democrata Independiente;Coalicion;Politico
patricionavia;;;;centro_estudios
patriciowalker;Senador;Partido Democrata Cristiano;Concertacion;Politico
paulfontaineb;;;;sociedad civil
pepe_auth;Diputado;Partido Por la Democracia;Concertacion;Politico
pizarrosenador;Senador;Partido Democrata Cristiano;Concertacion;Politico
pvallespin;Diputado;Partido Democrata Cristiano;Concertacion;Politico
renesaffirio;Diputado;Partido Democrata Cristiano;Concertacion;Politico
rhinzpeter;Ministro;Renovacion Nacional;Coalicion;Politico
robertomendez;;;;centro_estudios
sebastianpinera;Presidente;Renovacion Nacional;Coalicion;Politico
senadorRE;Senador;Partido Democrata Cristiano;Concertacion;Politico
senadornavarro;Senador;Movimiento Amplio Social;Independiente;Politico
senadorquintana;Senador;Partido Por la Democracia;Concertacion;Politico
senadortuma;Senador;Partido Por la Democracia;Concertacion;Politico
soledadalvear;Senador;Partido Democrata Cristiano;Concertacion;Politico
teoribera;Ministro;;;Politico
vanrysselberghe;Diputado;Union Democrata Independiente;Coalicion;Politico
ximenavidal;Diputado;Partido Por la Democracia;Concertacion;Politico
ximerincon;Senador;Partido Democrata Cristiano;Concertacion;Politico
